key,term,es,overlap,ledge,signature_genes,perc,KM_HZ
11_vs_proxy_parental_DOWN,mitochondrial respiratory chain complex assembly (GO:0033108),0.34950175322780386,,MT-ND4;NDUFB2;NDUFV2;MT-ND3;NDUFB4;NDUFA3;NDUFV1;NDUFA9;NDUFB8;NDUFB1;MT-ND2;COA4;NDUFB7;NDUFB5;NDUFS7;NDUFAF5;NDUFAB1;NDUFS1;NDUFAF4;COX16;NDUFB3;SDHAF2;COX17;PET100;SLC25A33;NDUFV3;NDUFS6;UQCC2;COX19;NDUFAF6;SDHAF3;PET117;TMEM126B;SCO1;COA3;COA1;ACAD9;NDUFA10;NDUFA7;UQCR10;IMMP1L;MT-ND6,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,mitochondrial ATP synthesis coupled electron transport (GO:0042775),0.29083330448573586,,MT-CO2;MT-CO1;MT-CYB;MT-ND4;NDUFB2;NDUFV2;UQCR11;MT-ND4L;UQCRH;MT-ND3;SDHC;NDUFB4;NDUFA3;NDUFV1;NDUFA9;NDUFB8;NDUFB1;MT-ND2;NDUFB7;NDUFB5;NDUFS7;NDUFA4;NDUFAB1;NDUFS1;NDUFB3;SDHAF2;MT-CO3;NDUFV3;COX5A;UQCRQ;COX8A;NDUFS6,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,respiratory electron transport chain (GO:0022904),0.2686205367003983,,MT-CO2;MT-CO1;MT-CYB;MT-ND4;NDUFB2;NDUFV2;UQCR11;MT-ND4L;UQCRH;MT-ND3;SDHC;NDUFB4;NDUFA3;NDUFV1;NDUFA9;NDUFB8;ETFA;NDUFB1;MT-ND2;NDUFB7;NDUFB5;NDUFS7;NDUFA4;ETFB;NDUFAB1;NDUFS1;NDUFB3;SDHAF2;MT-CO3;NDUFV3;COX5A;UQCRQ;COX8A;NDUFS6,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,translational termination (GO:0006415),0.254705882352934,,MRPS16;MRPL41;MRPS35;MRPS12;MRPS15;MRPL46;MRPL50;MRPL57;MRPS22;MRPL36;MRPL16;MRPL28;MRPS2;MRPL22;MRPL13;MRPL51;MRPS11;MRPL21;DAP3;MRPS5;MRPS18C;ERAL1;MRPL1;MRPL15;GADD45GIP1;MRPL33;MRPS26;MRPS17;MRPL14;MRPL42;MRPL47;MRPL20;MRPL17;MRPL27;MRPL19;MRPL35;MRPL9;MRPS9;MRPL4;MRPL18;MRPL11;MRPL37;MRPL32;PTCD3;GFM2;GSPT1;ETF1;MRPL3;MRPS7;AURKAIP1;MRPS34;ABCE1;MRPL12;MRPL23;MRPS25;MRPL39,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,mitochondrial translational termination (GO:0070126),0.25448133999412376,,MRPS16;MRPL41;MRPS35;MRPS12;MRPS15;MRPL46;MRPL50;MRPL57;MRPS22;MRPL36;MRPL16;MRPL28;MRPS2;MRPL22;MRPL13;MRPL51;MRPS11;MRPL21;DAP3;MRPS5;MRPS18C;ERAL1;MRPL1;MRPL15;GADD45GIP1;MRPL33;MRPS26;MRPS17;MRPL14;MRPL42;MRPL47;MRPL20;MRPL17;MRPL27;MRPL19;MRPL35;MRPL9;MRPS9;MRPL4;MRPL18;MRPL11;MRPL37;MRPL32;PTCD3;GFM2;MRPL3;MRPS7;AURKAIP1;MRPS34;MRPL12;MRPL23;MRPS25;MRPL39,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),0.21522693997071457,,PSMA5;PSMB1;PSMB3;DNAJB1;PSMD6;PSMD10;KLF2;CUL2;PSMA7;EGLN1;RBX1;PSMD8;PSMA1;PSMA4;PSMB5;PSMB2;HSF1;GCN1;PSMD7;EGLN2;PSMA3;HIGD1A;HIF1AN;PSMC6;UBE2D2;PSME3;PSMD3;PSME4;PSMC1;PSMD13;PSMD14;PSMC5;CREBBP;PSMD11;PSMD12;CHEK1;PSMD1;PSMC3;PSMD9;PSMA2;PSMD2,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,regulation of cellular ketone metabolic process (GO:0010565),0.2147239263803646,,PSMA5;PSMB1;PSMB3;PSMD6;PSMD10;PSMA7;PSMD8;PSMA1;PSMA4;PSMB5;PSMB2;PRKAG2;PSMD7;PSMA3;PSMC6;PSME3;PSMD3;PSME4;PSMC1;ODC1;PSMD13;PSMD14;CAV1;PSMC5;PANK2;AZIN1;PSMD11;PSMD12;PSMD1;PSMC3;PSMD9;PSMA2;PSMD2,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,non-canonical Wnt signaling pathway (GO:0035567),0.18178665387724297,,PSMA5;PSMB1;PSMB3;PSMD6;PSMD10;RHOA;PSMA7;PPP3CA;PSMD8;PFN1;FZD2;PSMA1;PSMA4;CALM1;TNRC6A;PSMB5;AP2S1;PSMB2;PSMD7;PSMA3;CDC42;AP2A1;PSMC6;RYK;PSME3;CLTC;PSMD3;PSME4;PSMC1;GNB1;SMURF2;FZD6;PPP3CB;PSMD13;PLCB3;PSMD14;AP2A2;PSMC5;MAP3K7;AGO2;PSMD11;PSMD12;AP2B1;RAC1;PSMD1;PSMC3;PSMD9,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,Fc receptor signaling pathway (GO:0038093),0.1759863608085062,,PSMA5;PSMB1;PSMB3;PSMD6;PSMD10;PSMA7;JUN;PPP3CA;PSMD8;PSMA1;PSMA4;CALM1;MAPK1;PSMB5;PSMB2;PSMD7;PSMA3;PSMC6;MAPK9;UBE2D2;MALT1;PSME3;CUL1;PSMD3;PSME4;PSMC1;PPP3CB;PSMD13;PAK2;PSMD14;GRB2;PSMC5;MAP3K7;MAPK8;CHUK;PSMD11;PSMD12;NFATC3;HRAS;RAC1;PSMD1;PSMC3;PSMD9;NFATC2;PSMA2;PDPK1;PSMD2,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,Fc-epsilon receptor signaling pathway (GO:0038095),0.1759863608085062,,PSMA5;PSMB1;PSMB3;PSMD6;PSMD10;PSMA7;JUN;PPP3CA;PSMD8;PSMA1;PSMA4;CALM1;MAPK1;PSMB5;PSMB2;PSMD7;PSMA3;PSMC6;MAPK9;UBE2D2;MALT1;PSME3;CUL1;PSMD3;PSME4;PSMC1;PPP3CB;PSMD13;PAK2;PSMD14;GRB2;PSMC5;MAP3K7;MAPK8;CHUK;PSMD11;PSMD12;NFATC3;HRAS;RAC1;PSMD1;PSMC3;PSMD9;NFATC2;PSMA2;PDPK1;PSMD2,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,cellular response to hypoxia (GO:0071456),0.169083427019812,,PSMA5;PSMB1;FAM162A;PSMB3;PSMD6;PSMD10;CUL2;PSMA7;STUB1;EGLN1;RBX1;PSMD8;TIGAR;PSMA1;PSMA4;PSMB5;PSMB2;PSMD7;EGLN2;PSMA3;TP53;HIGD1A;HIF1AN;PSMC6;UBE2D2;PSME3;PSMD3;PSME4;PSMC1;UBQLN1;PSMD13;PSMD14;PSMC5;CREBBP;PSMD11;PSMD12;MDM2;HP1BP3;MTOR;ACAA2;PSMD1;PSMC3;PSMD9,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
11_vs_proxy_parental_DOWN,positive regulation of canonical Wnt signaling pathway (GO:0090263),0.1685689201053514,,PSMA5;PSMB1;PSMB3;PSMD6;WNK1;PSMD10;PSMA7;PSMD8;UBR5;PSMA1;PSMA4;PSMB5;PSMB2;PSMD7;PSMA3;DDX3X;PSMC6;TBL1XR1;PSME3;USP47;PSMD3;PSME4;PSMC1;SMURF2;PSMD13;PSMD14;CAV1;PSMC5;ILK;PSMD11;PSMD12;JRK;PSMD1;PSMC3;PSMD9;PSMA2;RUVBL1;PSMD2;PIN1,INCENP;KIF15;BMPER;KISS1;FAM64A;CDC25C;CCNB1;KIFC1;NUSAP1;HMGB2;DEPDC1;AURKB;PRC1;CIT;SPC25;CENPE;DCLK1;PSRC1;CCNF;NCAPG;CDCA3;AURKA;CENPF;CEP55;SGOL2;ASPM;CENPA;UBE2C;GTSE1;KRTAP2-3;NUF2;RP11-688I9.4;PIF1;HMMR;KIF2C;TPX2;DLGAP5;MXD3;CDCA2;TOP2A;ANLN;NDC80;KIF23;PDE1C;MKI67;CDCA8;PLK1;HIST1H2AH;FAM72D;KRTAP4-8;FAM72B;KIRREL3,0.0,2.62222423679074
